id,country_code
23645,ru
23660,in
23661,rs
23663,fr
53829,pl
23667,jp
23668,cn
23670,ro
23671,ug
23081,fr
23082,fr
23083,be
23087,fr
23089,us
23090,za
23091,us
23092,fr
23093,fi
23097,fr
23712,se
23713,cz
23717,ru
23099,be
23724,ru
23728,us
23729,gb
23732,gb
23733,ca
23736,us
23737,cz
23738,cn
48951,in
23741,in
23745,ru
23760,in
55529,us
23773,us
23776,cz
23778,dz
23782,ca
23784,jp
23789,jp
23795,id
48691,ma
23801,jp
23873,cn
23884,tn
23885,sa
23887,iq
23888,ro
23897,au
23898,ee
23908,pk
54493,ke
23976,ls
23984,cn
23989,cz
23998,us
23999,ne
24004,ru
24009,in
54823,ma
24011,id
24012,id
24019,ua
24020,mx
24023,jp
24024,jp
24026,in
24029,it
24032,us
24036,fr
24037,ru
24038,be
24042,de
24046,it
24050,de
24053,no
24054,us
24057,no
24059,jp
24060,vn
24062,mn
47343,us
24086,mx
24094,no
24095,ru
24096,br
24097,ve
24098,uz
24101,ng
24103,nl
24104,in
24106,tz
24108,ch
24112,in
24118,sd
24121,ru
24123,kr
24129,jp
24132,cz
24135,nl
24136,ch
24143,it
24144,in
24145,it
24149,ve
10012,ru
10013,au
10014,us
10015,us
10016,us
10017,us
10018,gl
10020,au
10021,us
10022,us
10023,za
10024,us
47729,dz
10026,eg
10027,au
10029,us
10030,us
10031,us
10034,us
10035,de
52012,tn
10036,us
10037,us
30562,dz
10045,us
10046,au
10048,kz
10050,mx
10052,au
10054,ar
10056,us
10057,us
54717,cl
10060,au
10061,na
10062,us
10063,us
10064,us
10065,us
10066,us
56565,us
10069,us
10070,us
10071,us
10072,us
10073,us
10076,us
10077,us
10082,dk
10083,us
10084,us
10085,au
10089,us
10090,ca
30563,us
10093,ca
10103,no
10104,us
10105,us
10106,us
51738,us
10108,us
30564,us
10109,us
10110,us
10112,us
10113,us
10114,us
10115,us
10116,us
10117,us
10118,se
10121,us
10122,us
10124,au
10125,au
10126,au
10127,au
10128,au
10129,au
10130,au
10131,au
10132,au
10133,au
10134,au
10135,au
10136,au
10137,au
10138,au
10139,au
10140,au
10141,au
10142,au
10143,au
10144,au
10145,au
10146,au
10147,au
10148,au
10149,au
10150,au
10151,au
10152,au
10153,au
10154,au
10155,au
10156,au
10157,au
10158,au
10159,au
10160,au
10161,au
10162,au
10165,us
10167,us
10168,us
10169,ar
10170,us
10171,ma
30565,us
10172,us
10173,us
10174,us
10175,us
10176,us
10178,us
10179,us
10180,us
10181,us
10182,au
10184,us
34491,cn
10835,jp
10842,us
10843,us
10844,us
10847,us
52414,us
10852,ar
10855,bf
10856,ar
10857,ca
10862,us
10863,es
10864,us
10865,au
10867,ca
10868,us
52031,eg
10871,ua
10904,us
10906,es
10908,ly
10909,ly
10910,ly
10911,om
10912,na
10913,au
30664,us
10915,au
10916,de
10918,ca
10920,au
10921,us
10927,us
10928,us
10932,us
10933,au
10934,gb
10935,us
10937,au
10938,in
10939,na
10940,us
10941,us
10942,us
10943,us
10944,us
10945,us
10946,us
10947,us
34019,ng
30665,dz
10950,br
10951,us
10952,us
10953,us
10954,us
10955,us
47730,us
10957,us
10958,us
10959,us
11177,us
11179,ca
11180,us
11181,eg
11182,eg
11183,eg
11184,eg
11185,eg
11186,eg
11187,eg
11188,eg
11189,eg
11190,eg
11191,eg
11192,eg
44883,eg
44884,eg
44885,eg
44886,eg
49490,eg
50999,eg
51000,eg
51057,eg
51001,eg
51002,eg
51003,eg
51004,eg
51005,eg
51006,eg
51007,eg
53618,eg
56302,eg
11193,us
11194,us
30666,us
11195,us
11197,ne
11198,ne
11199,ne
11200,by
11201,us
11202,us
11203,us
11204,us
55289,us
53633,br
24154,ua
24158,ru
24162,ir
24165,ru
24168,us
24169,ru
24174,it
24179,es
24183,ca
24185,bg
24187,in
24188,in
24189,pk
24191,fr
24210,us
24215,us
24218,us
47344,ly
24244,cz
24249,us
24250,us
24251,us
49514,us
24281,au
24321,za
24322,na
24323,za
24324,et
24325,gb
24334,au
24337,us
24340,cn
24345,cn
24346,cn
24351,ye
30345,cd
30348,cn
30350,cn
30352,az
30358,in
30366,jp
30370,us
30372,jp
30377,cn
30378,ua
30379,ua
30380,by
30384,ma
30386,ng
30388,kz
30389,jp
30391,cn
30395,ru
30396,rs
30397,cz
30399,lt
30404,cn
30407,ua
30408,cn
30411,by
30412,mw
30413,hu
30415,ua
4,mx
51399,sa
5,us
7,us
8,fi
9,eg
11,dz
12,dz
13,dz
14,dz
15,dz
16,dz
17,dz
18,dz
19,dz
20,dz
21,dz
22,dz
23,dz
24,dz
25,dz
26,dz
27,dz
28,dz
29,dz
30,dz
31,dz
32,dz
33,dz
34,dz
35,dz
36,dz
37,dz
38,dz
39,dz
40,dz
41,dz
42,dz
43,dz
44,dz
45,dz
46,dz
47,dz
48,dz
49,dz
50,dz
51,dz
52,dz
53,dz
54,dz
56,dz
57,dz
58,dz
59,dz
60,dz
61,dz
62,dz
63,dz
64,dz
65,dz
66,dz
67,dz
68,dz
69,dz
70,dz
71,dz
72,dz
73,dz
74,dz
75,dz
76,dz
77,dz
78,dz
79,dz
80,dz
81,dz
82,dz
83,dz
84,dz
85,dz
86,dz
87,dz
88,dz
89,dz
90,dz
91,dz
92,dz
93,dz
94,dz
95,dz
96,dz
97,dz
98,dz
99,dz
100,dz
101,dz
102,dz
103,dz
104,dz
105,dz
106,dz
107,dz
108,dz
109,dz
110,dz
111,dz
112,dz
113,dz
114,dz
115,dz
116,dz
117,dz
118,dz
119,dz
120,dz
121,dz
122,dz
123,dz
124,dz
125,dz
126,dz
127,dz
128,dz
129,dz
130,dz
131,dz
132,dz
133,dz
134,dz
135,dz
136,dz
137,dz
138,dz
139,dz
140,dz
141,dz
142,dz
143,dz
144,dz
145,dz
146,dz
147,dz
148,dz
149,dz
150,dz
151,dz
152,dz
153,dz
154,dz
155,dz
156,dz
157,dz
158,dz
159,dz
160,dz
161,dz
162,dz
163,dz
164,dz
165,dz
166,dz
167,dz
168,dz
169,dz
170,dz
171,dz
172,dz
173,dz
174,dz
175,dz
176,dz
177,dz
178,dz
179,dz
180,dz
181,dz
182,dz
183,dz
184,dz
185,dz
186,dz
187,dz
188,dz
189,dz
190,dz
191,dz
192,dz
193,dz
194,dz
195,dz
196,dz
197,dz
198,dz
199,dz
200,dz
201,dz
202,dz
203,dz
204,dz
205,dz
206,dz
207,dz
208,dz
209,dz
210,dz
211,dz
212,dz
213,dz
214,dz
215,dz
216,dz
217,dz
218,dz
219,dz
220,dz
221,dz
222,dz
223,dz
224,dz
225,dz
226,dz
227,dz
228,dz
229,dz
230,dz
231,dz
232,dz
233,dz
234,dz
235,dz
236,dz
237,dz
238,dz
239,dz
240,dz
241,dz
242,dz
243,dz
244,dz
245,dz
246,dz
247,dz
248,dz
249,dz
250,dz
252,dz
253,dz
254,dz
255,dz
256,dz
257,dz
258,dz
259,dz
260,dz
261,dz
262,dz
263,dz
264,dz
265,dz
266,dz
267,dz
268,dz
269,dz
270,dz
271,dz
272,dz
273,dz
274,dz
275,dz
276,dz
277,dz
278,dz
279,dz
280,dz
281,dz
282,dz
283,dz
284,dz
285,dz
286,dz
287,dz
288,dz
289,dz
290,dz
291,dz
292,dz
293,dz
294,dz
295,dz
296,dz
297,dz
298,dz
299,dz
300,dz
301,dz
302,dz
303,dz
304,dz
305,dz
306,dz
307,dz
308,dz
309,dz
310,dz
311,dz
312,dz
313,dz
314,dz
315,dz
316,dz
317,dz
318,dz
319,dz
320,dz
321,dz
322,dz
323,dz
324,dz
325,dz
326,dz
327,dz
328,dz
329,dz
330,dz
331,dz
30428,dz
332,dz
333,dz
334,dz
335,dz
336,dz
337,dz
338,dz
339,dz
340,dz
341,dz
342,dz
343,dz
344,dz
345,dz
346,dz
347,dz
32781,dz
348,dz
349,dz
350,dz
